chromosome	start	stop	abspos	length	gc	n_good
chr10	22351496	33718741	1708408261	11367245	0.417789	214350
chr10	33718741	42387024	1718426025	8668283	0.404525	214359
chr10	42387024	48125910	1725629610	5738886	0.422891	214349
chr10	48125910	59728209	1734300202	11602299	0.379257	214350
chr10	59728209	67648363	1744061429	7920154	0.381164	214350
chr10	67648363	83248665	1755821657	15600302	0.439096	214349
chr10	83248665	92863310	1768429130	9614645	0.393134	214351
chr10	92863310	109080866	1781345231	16217556	0.423901	214349
chr10	109080866	115498362	1792662757	6417496	0.400097	214352
chr10	115498362	125734756	1800989702	10236394	0.43556	214349
chr10	125734756	135534747	1811007894	9799991	0.462167	214335
chr11	0	12598724	1822207252	12598724	0.436499	217088
chr11	12598724	24001053	1834207778	11402329	0.395268	217092
chr11	24001053	31959368	1843888100	7958315	0.369113	217088
chr11	31959368	39618709	1851696928	7659341	0.38484	217088
chr11	39618709	49139998	1860287243	9521289	0.411859	217088
chr11	49139998	59138200	1870046989	9998202	0.380194	217088
chr11	59138200	74188261	1882571120	15050061	0.469514	217088
chr11	74188261	87267362	1896635701	13079101	0.403587	217089
chr11	87267362	96852245	1907967693	9584883	0.380735	217088
chr11	96852245	105068770	1916868397	8216525	0.369923	217088
chr11	105068770	113593090	1925238820	8524320	0.396916	217103
chr11	113593090	124306831	1934857850	10713741	0.433997	217088
chr11	124306831	135006516	1945564563	10699685	0.423873	217068
chr12	0	14497524	1958163168	14497524	0.42799	210350
chr12	14497524	23170873	1969748604	8673349	0.373882	210350
chr12	23170873	33424328	1979212006	10253455	0.397532	210350
chr12	33424328	45320035	1990286587	11895707	0.38533	210350
chr12	45320035	56765526	2001957186	11445491	0.426438	210350
chr12	56765526	64907473	2011750905	8141947	0.378461	210350
chr12	64907473	74434747	2020585516	9527274	0.38365	210351
chr12	74434747	83061593	2029662576	8626846	0.371168	210350
chr12	83061593	89785174	2037337789	6723581	0.357677	210350
chr12	89785174	98080950	2044847468	8295776	0.388955	210353
chr12	98080950	109273326	2054591544	11192376	0.413988	210350
chr12	109273326	120370702	2065736420	11097376	0.448447	210358
chr12	120370702	133851895	2078025704	13481193	0.458069	210344
chr13	0	29080159	2099306380	29080159	0.425678	206185
chr13	29080159	39669255	2119141008	10589096	0.399284	206185
chr13	39669255	49184784	2129193320	9515529	0.406931	206185
chr13	49184784	56673126	2137695256	7488342	0.380195	206185
chr13	56673126	62223679	2144214703	5550553	0.357514	206188
chr13	62223679	68238538	2149997409	6014859	0.344369	206186
chr13	68238538	74726055	2156248597	6487517	0.355219	206188
chr13	74726055	81504248	2162881452	6778193	0.377687	206209
chr13	81504248	87207219	2169122034	5702971	0.344935	206185
chr13	87207219	95302293	2176021057	8095074	0.351713	206191
chr13	95302293	105931636	2185383265	10629343	0.390193	206185
chr13	105931636	115169878	2195317058	9238242	0.420411	206156
chr14	0	25783351	2212827854	25783351	0.407753	200027
chr14	25783351	33338416	2229497062	7555065	0.368856	200027
chr14	33338416	42463498	2237837136	9125082	0.382155	200027
chr14	42463498	48908497	2245622176	6444999	0.356334	200032
chr14	48908497	56910383	2252845619	8001886	0.399785	200027
chr14	56910383	68206733	2262494737	11296350	0.407981	200028
chr14	68206733	83063514	2275571302	14856781	0.429989	200027
chr14	83063514	87799267	2285367569	4735753	0.360862	200029
chr14	87799267	98093299	2292882462	10294032	0.44146	200027
chr14	98093299	107349540	2302657598	9256241	0.472336	200019
chr15	0	30528028	2322549733	30528028	0.414213	209701
chr15	30528028	41947106	2343523286	11419078	0.404015	209701
chr15	41947106	56053964	2356286254	14106858	0.39727	209702
chr15	56053964	69205569	2369915485	13151605	0.426239	209711
chr15	69205569	82319758	2383048382	13114189	0.454255	209701
chr15	82319758	94300968	2395596082	11981210	0.432578	209701
chr15	94300968	102531392	2405701899	8230424	0.405061	209696
chr16	0	13990969	2416812595	13990969	0.465422	199050
chr16	13990969	24930140	2429277665	10939171	0.440151	199050
chr16	24930140	33213747	2438889054	8283607	0.442582	199050
chr16	33213747	46420372	2449634170	13206625	0.414088	199108
chr16	46420372	52657020	2459355807	6236648	0.430632	199052
chr16	52657020	60307728	2466299485	7650708	0.422305	199050
chr16	60307728	65276475	2472609212	4968747	0.365346	199050
chr16	65276475	77630712	2481270704	12354237	0.424736	199050
chr16	77630712	90354753	2493809843	12724041	0.479934	198992
chr17	0	14539145	2507441436	14539145	0.444852	201384
chr17	14539145	27636142	2521259507	13096997	0.445234	201387
chr17	27636142	42706903	2535343386	15070761	0.462647	201383
chr17	42706903	52887194	2547968912	10180291	0.420068	201384
chr17	52887194	68220657	2560725789	15333463	0.433821	201383
chr17	68220657	81195210	2574879797	12974553	0.465395	201377
chr18	0	9689435	2586211791	9689435	0.400025	206405
chr18	9689435	22270926	2597347254	12581491	0.421687	206401
chr18	22270926	28172732	2606588903	5901806	0.369139	206401
chr18	28172732	37608091	2614257485	9435359	0.385811	206408
chr18	37608091	47277740	2623809989	9669649	0.38735	206410
chr18	47277740	57029918	2633520903	9752178	0.405354	206410
chr18	57029918	63794547	2641779306	6764629	0.377149	206410
chr18	63794547	70404376	2648466535	6609829	0.359416	206403
chr18	70404376	78077248	2655607886	7672872	0.426701	206367
chr19	0	19847566	2669368105	19847566	0.491857	191894
chr19	19847566	31272670	2685004440	11425104	0.422093	191894
chr19	31272670	43283816	2696722565	12011146	0.457548	191894
chr19	43283816	59128983	2710650721	15845167	0.46625	191894
chr20	0	7804049	2722475329	7804049	0.423381	186227
chr20	7804049	17782370	2731366514	9978321	0.394727	186221
chr20	17782370	24263259	2739596119	6480889	0.426712	186215
chr20	24263259	38441132	2749925500	14177873	0.447044	186216
chr20	38441132	47111949	2761349845	8670817	0.442613	186217
chr20	47111949	54361321	2769309940	7249372	0.428596	186215
chr20	54361321	63025520	2777266725	8664199	0.468968	186194
chr21	0	16718687	2789958168	16718687	0.390976	178778
chr21	16718687	23042865	2801479601	6324178	0.362336	178779
chr21	23042865	28403521	2807322018	5360656	0.359469	178778
chr21	28403521	35651042	2813626106	7247521	0.393563	178777
chr21	35651042	48129895	2823489293	12478853	0.46484	178774
chr22	0	25951792	2842704616	25951792	0.464105	164363
chr22	25951792	37344882	2861377057	11393090	0.456255	164360
chr22	37344882	51304566	2874053444	13959684	0.499434	164359
chrX	0	8294510	2885180541	8294510	0.411669	213855
chrX	8294510	19232631	2894796856	10938121	0.404747	213855
chrX	19232631	28073547	2904686375	8840916	0.384442	213855
chrX	28073547	37384433	2913762276	9310886	0.372633	213856
chrX	37384433	44442560	2921946782	7058127	0.415396	213855
chrX	44442560	53362647	2929935889	8920087	0.41566	213856
chrX	53362647	63720999	2939575109	10358352	0.395442	213855
chrX	63720999	72494915	2949141243	8773916	0.407689	213855
chrX	72494915	80707019	2957634253	8212104	0.381982	213857
chrX	80707019	87493608	2965133599	6786589	0.363571	213855
chrX	87493608	93578020	2971569100	6084412	0.360247	213857
chrX	93578020	99513344	2977578968	5935324	0.365443	213868
chrX	99513344	109814499	2985697207	10301155	0.397871	213857
chrX	109814499	119113350	2995497210	9298851	0.388189	213855
chrX	119113350	126114914	3003647418	7001564	0.376393	213856
chrX	126114914	134090813	3011136149	7975899	0.389447	213855
chrX	134090813	141191109	3018674247	7100296	0.396227	213855
chrX	141191109	146142467	3024700074	4951358	0.371499	213855
chrX	146142467	155270560	3031739799	9128093	0.419657	213833
